date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
Mar  8, 2024 07:49:15.378636000 EST,192.168.4.137,192.168.4.140,58343,8002,0,0x0014
Mar  8, 2024 07:49:15.378636000 EST,192.168.4.137,192.168.4.140,58343,32784,0,0x0014
Mar  8, 2024 07:49:15.378918000 EST,192.168.4.137,192.168.4.140,58343,6788,0,0x0014
Mar  8, 2024 07:49:15.379188000 EST,192.168.4.137,192.168.4.140,58343,1117,0,0x0014
Mar  8, 2024 07:49:15.379452000 EST,192.168.4.137,192.168.4.140,58343,9200,0,0x0014
Mar  8, 2024 07:49:15.380383000 EST,192.168.4.137,192.168.4.140,58343,30000,0,0x0014
Mar  8, 2024 07:49:15.380383000 EST,192.168.4.137,192.168.4.140,58343,1035,0,0x0014
Mar  8, 2024 07:49:15.380675000 EST,192.168.4.137,192.168.4.140,58343,2008,0,0x0014
Mar  8, 2024 07:49:15.380941000 EST,192.168.4.137,192.168.4.140,58343,2179,0,0x0014
Mar  8, 2024 07:49:15.381470000 EST,192.168.4.137,192.168.4.140,58343,6565,0,0x0014
Mar  8, 2024 07:49:15.381471000 EST,192.168.4.137,192.168.4.140,58343,161,0,0x0014
Mar  8, 2024 07:49:15.381754000 EST,192.168.4.137,192.168.4.140,58343,2035,0,0x0014
Mar  8, 2024 07:49:15.382269000 EST,192.168.4.137,192.168.4.140,58343,1048,0,0x0014
Mar  8, 2024 07:49:15.382269000 EST,192.168.4.137,192.168.4.140,58343,2000,0,0x0014
Mar  8, 2024 07:49:15.382707000 EST,192.168.4.137,192.168.4.140,58343,1039,0,0x0014
Mar  8, 2024 07:49:15.382973000 EST,192.168.4.137,192.168.4.140,58343,616,0,0x0014
Mar  8, 2024 07:49:15.383233000 EST,192.168.4.137,192.168.4.140,58343,10004,0,0x0014
Mar  8, 2024 07:49:15.383695000 EST,192.168.4.137,192.168.4.140,58343,40193,0,0x0014
